date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:29	113/113	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20Dec%202021%2010:13:00%20GMT	https://demo2.tokomoo.com/robots.txt		(from )
13:15:30	102543/102543	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2010:15:30%20GMT	https://demo2.tokomoo.com/livre/homepage-livre-v14/	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/homepage-livre-v14/index.html	(from )
13:15:30	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%2213abe-5c8df5c6ad66b%22	https://demo2.tokomoo.com/livre/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/css/dist/block-library/style.min080f.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:30	3276/3276	---MCZ	200	added ('OK')	text/css	etag:W/%22ccc-5c8df65388cdd%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=5.3.3	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style1852.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:30	181325/181325	---MCZ	200	added ('OK')	text/css	etag:W/%222c44d-5c8df65386d9d%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=5.3.3	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style1852.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:31	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%22a46-5c8df668a2fa0%22	https://demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:31	30603/30603	---MCZ	200	added ('OK')	text/css	etag:W/%22778b-5c8df668a2fa0%22	https://demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.css?ver=4.7.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome1849.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:32	174/174	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Dec%202021%2010:15:31%20GMT	http://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/prettyPhoto.5005e.delayed	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:32	9437/9437	---MCZ	200	added ('OK')	text/css	etag:W/%2224dd-5c8df6540f90c%22	https://demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:32	29253/29253	---MCZ	200	added ('OK')	text/css	etag:W/%227245-5c8df668a1061%22	https://demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style.css?ver=3.0.25	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-wishlist/assets/css/styleac5b.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:32	22131/22131	---MCZ	200	added ('OK')	text/css	etag:W/%225673-58df166542be9%22	https://demo2.tokomoo.com/livre/wp-content/plugins/tokoo-vitamins/extensions/mega-menus//fonts/icomoon/style.css?ver=5.8.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/tokoo-vitamins/extensions/mega-menus/fonts/icomoon/style080f.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:32	22240/22240	---MCZ	200	added ('OK')	text/css	etag:W/%2256e0-58df166545ac9%22	https://demo2.tokomoo.com/livre/wp-content/plugins/tokoo-vitamins/extensions/mega-menus//fonts/fontello-7275ca86/css/fontello.css?ver=5.8.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/tokoo-vitamins/extensions/mega-menus/fonts/fontello-7275ca86/css/fontello080f.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:33	16435/16435	---MCZ	200	added ('OK')	text/css	etag:W/%224033-58df166540ca8%22	https://demo2.tokomoo.com/livre/wp-content/plugins/tokoo-vitamins/extensions/mega-menus//fonts/themify-icons/themify-icons.css?ver=5.8.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/tokoo-vitamins/extensions/mega-menus/fonts/themify-icons/themify-icons080f.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:33	2640/2640	---MCZ	200	added ('OK')	text/css	etag:W/%22a50-5c8df6385fe63%22	https://demo2.tokomoo.com/livre/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:33	3611/3611	---MCZ	200	added ('OK')	text/css	etag:W/%22e1b-5c8df6602343b%22	https://demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view.css?ver=1.6.3	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/yith-woocommerce-quick-view/assets/css/yith-quick-view905d.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:33	29033/29033	---MCZ	200	added ('OK')	text/css	etag:W/%227169-5d26141dd49ff%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/assets/fonts/livre-icons/style.css?ver=5.8.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/assets/fonts/livre-icons/style080f.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:33	9967/9967	---MCZ	200	added ('OK')	text/css	etag:W/%2226ef-5d26141de633e%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/bootstrap/assets/css/koo-shortcodes.css?ver=5.8.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/bootstrap/assets/css/koo-shortcodes080f.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:34	926/926	---MCZ	200	added ('OK')	text/css	etag:W/%2239e-5d26141dcfbdf%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/style.css?ver=2.0.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/style001e.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:34	268896/268896	---MCZ	200	added ('OK')	text/css	etag:W/%2241a60-5d26141dd2abf%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/assets/css/main.css?ver=2.0.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/assets/css/main001e.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:34	65829/65829	---MCZ	200	added ('OK')	text/css	etag:W/%2210125-5d26141dd2abf%22	https://demo2.tokomoo.com/livre/wp-content/themes/livre/assets/css/font-icons.css?ver=2.0.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/themes/livre/assets/css/font-icons001e.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:34	68958/68958	---MCZ	200	added ('OK')	text/css	etag:W/%2210d5e-5c8df4bd1c39d%22	https://demo2.tokomoo.com/livre/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.min.css?ver=2.9.6	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.min7d47.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:35	36745/36745	---MCZ	200	added ('OK')	text/css	etag:W/%228f89-5c8df4bd1a45d%22	https://demo2.tokomoo.com/livre/wp-content/plugins/kingcomposer/assets/css/animate.css?ver=2.9.6	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/kingcomposer/assets/css/animate7d47.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:35	49302/49302	---MCZ	200	added ('OK')	text/css	etag:W/%22c096-5c8df4bd165dd%22	https://demo2.tokomoo.com/livre/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=2.9.6	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/plugins/kingcomposer/assets/css/icons7d47.css	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:35	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215db1-5c8df5c668114%22	https://demo2.tokomoo.com/livre/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/jquery/jquery.minaf6c.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:35	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%222bd8-5c8df5c668114%22	https://demo2.tokomoo.com/livre/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
13:15:35	92785/92785	---M--	200	added ('OK')	image/jpeg	etag:%2216a71-59b3837cb3f6b%22	https://demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/07/livre-home14-bg1-1024x474.jpg	C:/Users/q/Downloads/larav8/Book%20store/demo2.tokomoo.com/livre/wp-content/uploads/sites/16/2019/07/livre-home14-bg1-1024x474.jpg	(from https://demo2.tokomoo.com/livre/homepage-livre-v14/)
